Title,Developer
100% Orange Juice,Orange_Juice
Age of Empires II (2013),Forgotten Empire
Bastion,Supergiant Games
BattleBlock Theater,The Behemoth
BioShock,2K
Borderlands 2,Gearbox Software
Borderlands: The Pre-Sequel,Gearbox Software
Castle Crashers,The Behemoth
Counter-Strike: Global Offensive,Valve
Crypt of the NecroDancer,Brace Yourself Games
Dead Cells,Motion Twin
Dead Island,Techland
Dead Space,EA Redwood Shores
Divinity: Original Sin 2,Larian Studios
Doki Doki Literature Club,Team Salvato
Don't Starve,Klei Entertainment
Don't Starve Together,Klei Entertainment
Dota 2,Valve
Drawful 2,Jackbox Games Inc.
EXAPUNKS,Zachtronics
Fall Guys,Mediatonic
FTL: Faster Than Light,Subset Games
Garry's Mod, Facepunch Studios
Golf With Your Friends, Blacklight Interactive
Hades,Supergiant Games
Hollow Knight,Team Cherry
Hotline Miami,Dennaton Games
I Love You Colonel Sanders! A Finger Lickin� Good Dating Simulator,Psyop
Insurgency,New World Interactive
Into the Breach,Subset Games
Killing Floor,Tripwire Interactive
Killing Floor 2,Tripwire Interactive
Left 4 Dead 2,Valve
LIMBO,Playdead
METAL SLUG 3,SNK CORPORATION
Metro 2033,4A Games
Monster Hunter: World,CAPCOM Co. Ltd.
Move or Die,Those Awesome Guys
My Friend Pedro,DeadToast Entertainment
Okami HD,CAPCOM Co. Ltd.
Path of Exile,Grinding Gear Games
PAYDAY 2,OVERKILL
PAYDAY: The Heist,OVERKILL
Poly Bridge,Dry Cactus
Poly Bridge 2,Dry Cactus
Portal,Valve
Portal 2,Valve
Puyo Puyo�Tetris�,Sonic Team
Risk of Rain 2,Hopoo Games
Rocket League,Psyonix LLC
Saints Row: The Third,Volition
Sid Meier's Civilization V,Firaxis Games
Skullgirls,Lab Zero Games
Slay the Spire,Mega Crit Games
Stardew Valley,ConcernedApe
STEINS;GATE,MAGES. Inc.
Super Meat Boy,Team Meat
Tabletop Simulator,Berserk Games
Team Fortress 2,Valve
Terraria,Re-Logic
The Binding of Isaac,Edmund McMillen and Florian Himsl
The Binding of Isaac: Rebirth,Nicalis Inc.
The Legend of Bum-Bo,Nicalis Inc.
The Walking Dead,Telltale Games
The Witcher 3: Wild Hunt,CD PROJEKT RED
Torchlight II,Echtra Inc.
Tricky Towers,WeirdBeard
Ultimate Chicken Horse,Clever Endeavour Games
VA-11 Hall-A: Cyberpunk Bartender Action,Sukeban Games
